"Início dos relatórios","Término dos relatórios","Nome do anúncio",Idade,Alcance,Impressões,"Cliques (todos)","Engajamento com a Página","Valor usado (BRL)"
2023-10-18,2023-10-18,"50 MIX",35-44,136,197,0,,0.76
2023-10-07,2023-10-07,"50 SALMÃO",35-44,135,201,0,,0.42
2023-09-26,2023-09-26,ACEVICHADO,45-54,134,236,1,,1.01
2023-10-29,2023-10-29,"50 MIX",25-34,133,142,0,,0.38
2023-10-16,2023-10-16,"50 SALMÃO",18-24,132,273,0,,1.16
2023-10-13,2023-10-13,"50 MIX",18-24,132,197,2,,1.06
2023-10-05,2023-10-05,"50 SALMÃO",35-44,132,177,0,,0.49
2023-10-17,2023-10-17,ACEVICHADO,25-34,130,164,0,,0.69
2023-09-22,2023-09-22,ACEVICHADO,45-54,130,192,0,,0.52
2023-09-20,2023-09-20,ACEVICHADO,45-54,130,230,1,,0.49
2023-02-15,2023-02-15,PASSION,18-24,283,287,2,126,1.14
2023-10-18,2023-10-18,"50 MIX",18-24,124,212,0,,0.85
2023-10-04,2023-10-04,"50 MIX",18-24,124,161,0,,0.33
2023-02-15,2023-02-15,PASSION,18-24,256,260,1,124,1.15
2023-02-13,2023-02-13,PASSION,45-54,242,245,0,124,0.97
2023-02-15,2023-02-15,PASSION,35-44,234,235,0,123,1.28
2022-10-19,2022-10-19,ACHIFADO,65+,122,131,0,,0.19
2023-02-12,2023-02-12,"BOX CASAL",25-34,122,131,0,7,0.21
2023-08-27,2023-08-27,ACEVICHADO,45-54,120,240,2,1,0.39
2023-09-20,2023-09-20,"50 MIX",45-54,119,258,0,,0.64
2023-10-07,2023-10-07,"50 MIX",35-44,118,186,7,2,0.84
2023-08-30,2023-08-30,ACEVICHADO,45-54,118,214,0,,0.31
2023-02-12,2023-02-12,ACHIFADO,25-34,232,239,0,117,0.73
2023-10-08,2023-10-08,"50 SALMÃO",18-24,116,126,1,1,0.23
2023-10-01,2023-10-01,"50 MIX",18-24,115,156,1,,0.3
2023-10-17,2023-10-17,"50 MIX",35-44,114,139,0,,0.52
2023-10-06,2023-10-06,ACEVICHADO,45-54,114,197,0,,0.46
2023-10-05,2023-10-05,ACEVICHADO,45-54,114,192,0,,0.32
2022-11-29,2022-11-29,AD1,25-34,5736,6298,357,123,38.14
2023-09-27,2023-09-27,ACEVICHADO,45-54,112,198,0,,0.43
2023-10-08,2023-10-08,ACEVICHADO,25-34,111,126,0,,0.32
2023-10-04,2023-10-04,ACEVICHADO,45-54,110,188,4,3,0.53
2023-02-15,2023-02-15,PASSION,35-44,248,250,0,108,1.23
2023-02-12,2023-02-12,ACHIFADO,18-24,238,238,0,108,0.55
2023-02-11,2023-02-11,PASSION,25-34,327,333,0,105,3.18
2023-10-04,2023-10-04,"50 SALMÃO",35-44,104,163,0,1,0.44
2023-09-30,2023-09-30,ACEVICHADO,45-54,104,196,0,,0.37
2023-10-17,2023-10-17,"50 SALMÃO",35-44,102,132,0,,0.59
2023-09-17,2023-09-17,ACEVICHADO,45-54,102,172,0,,0.29
2023-02-11,2023-02-11,ACHIFADO,25-34,436,440,0,102,3.41
